index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_community_coverage,x_cv_past_year,x_cv_poor_response,x_cv_sx_scale,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
0,64,18,,KOR,p,,,male,0.003,,0.008,0,1,0,0,-2.25095768191,-2.19063103418,2001,2001
1,64,18,,KOR,p,,,female,0.004,,0.025,0,1,0,0,-2.25095768191,-2.19063103418,2001,2001
2,99,20,,JPN,p,,0.021,total,-0.99,0.037,0.029,0,1,1,0,-2.32814640728,-2.49661846485,2003,2002
3,99,20,,JPN,p,,,male,0.00644,,0.009,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
4,99,20,,JPN,p,,,female,0.00708,,0.014,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
5,34,20,,JPN,p,,,total,0.00758,,0.005,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
6,49,35,,JPN,p,,,total,0.00801,,0.008,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
7,64,50,,JPN,p,,,total,0.01118,,0.019,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
8,99,65,,JPN,p,,,total,0.00913,,0.011,1,0,1,0,-2.35111995676,-2.56917170056,1999,1997
9,65,13,,SGP,p,,,total,0.00601,,0.055,0,1,0,0,,,1996,1996
10,65,20,,JPN,p,,,total,0.01416,,0.115,1,0,0,1,-2.36879653501,-2.46566534462,2004,2004
11,99,65,,JPN,p,542.0,,male,-0.99,,0.0,1,0,0,0,-2.66961348243,-2.70116935308,1993,1993
12,99,65,,JPN,p,,,female,0.01003,,0.04,1,0,0,0,-2.66961348243,-2.70116935308,1993,1993
13,64,18,,JPN,p,,0.007,total,-0.99,0.025,0.016,1,0,0,0,-2.32814640728,-2.49661846485,2002,2002
14,64,18,,KOR,p,,,total,0.0022,,0.023,0,1,0,0,-3.84459574582,-4.01749234386,1984,1984
15,69,65,,CHN,p,,,male,0.01703,,0.0415,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
16,69,65,,CHN,p,,,female,0.01541,,0.0461,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
17,74,70,,CHN,p,,,male,0.02043,,0.0616,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
18,74,70,,CHN,p,,,female,0.01459,,0.0249,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
19,79,75,,CHN,p,,,male,0.02671,,0.0535,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
20,79,75,,CHN,p,,,female,0.02977,,0.0738,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
21,99,80,,CHN,p,,,male,0.02148,,0.01995,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
22,99,80,,CHN,p,,,female,0.02224,,0.0311,1,0,0,0,-2.21384887206,-2.52487455535,2001,2001
23,70,18,,CHN,p,,,total,0.00393,,0.0399,0,1,0,0,-2.21384887206,-2.52487455535,2002,2001
24,99,18,,TWN,p,,,male,0.0021,,0.012,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
25,99,18,,TWN,p,,,female,0.00317,,0.0259,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
26,29,18,,TWN,p,,,total,0.00334,,0.0219,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
27,44,30,,TWN,p,,,total,0.00316,,0.016,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
28,65,45,,TWN,p,,,total,0.00325,,0.014,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
29,99,66,,TWN,p,,,total,0.00714,,0.02,0,1,0,0,-3.84459574582,-4.01749234386,1985,1982
30,24,15,,CHN,p,,,male,0.01069,,0.0259,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
31,24,15,,CHN,p,,,female,0.01335,,0.0353,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
32,34,25,,CHN,p,,,male,0.00656,,0.013,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
33,34,25,,CHN,p,,,female,0.00712,,0.0172,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
34,44,35,,CHN,p,,,male,0.00821,,0.0198,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
35,44,35,,CHN,p,,,female,0.00722,,0.0203,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
36,54,45,,CHN,p,,,male,0.00967,,0.0186,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
37,54,45,,CHN,p,,,female,0.01337,,0.0295,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
38,64,55,,CHN,p,,,male,0.01408,,0.01995,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
39,64,55,,CHN,p,,,female,0.01918,,0.0385,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
40,99,65,,CHN,p,,,male,0.01725,,0.0317,0,1,0,0,-3.84459574582,-2.51678346617,2006,2005
