,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
0,34.0,4.0,,DEU,r,,,total,0.000385887,,0.09,0.0,0.0,-2.264229229080417,-2.237749300925379,1991.0,1980.0
1,16.0,11.0,,IND,r,,,total,0.000443028,,0.131,0.0,0.0,-2.1567929959676366,-2.144034870535003,2000.0,1991.0
2,20.0,2.0,,USA,r,,,total,0.000302062,,0.165,0.0,0.0,-2.61701830021975,-2.691739228711366,1985.0,1981.0
3,80.0,17.0,,AFG,p,,,female,0.0738,,0.20600000000000002,0.0,0.0,-1.6574527873455214,-1.4560773863453,2004.0,2004.0
4,80.0,17.0,,AFG,p,,,male,0.0897,,0.28300000000000003,0.0,0.0,-1.6574527873455214,-1.4560773863453,2004.0,2004.0
5,54.0,45.0,,AUS,p,920.0,,female,-0.99,,0.159,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
6,24.0,18.0,,AUS,p,706.0,,female,-0.99,,0.138,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
7,34.0,25.0,,AUS,p,1124.0,,female,-0.99,,0.124,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
8,44.0,35.0,,AUS,p,1120.0,,female,-0.99,,0.145,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
9,64.0,55.0,,AUS,p,612.0,,female,-0.99,,0.095,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
10,85.0,65.0,,AUS,p,901.0,,female,-0.99,,0.054000000000000006,1.0,1.0,-4.029621537411595,-4.250428027039955,1997.0,1997.0
11,24.0,16.0,,AUS,p,,,female,0.018000000000000002,,0.17600000000000002,1.0,1.0,-4.029621537411595,-4.250428027039955,2007.0,2007.0
12,34.0,25.0,,AUS,p,,,female,0.013999999999999999,,0.165,1.0,1.0,-4.029621537411595,-4.250428027039955,2007.0,2007.0
