,area,pop,sex,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year
0,BRN,133.66156719999998,male,0.0,0.0,,,1990.0
1,BRN,119.39794410000002,female,0.0,0.0,,,1990.0
2,BRN,184.2128802,male,0.0,0.0,,,2005.0
3,BRN,179.46108790000002,female,0.0,0.0,,,2005.0
4,BRN,201.82745349999996,male,0.0,0.0,,,2010.0
5,BRN,197.70803019999997,female,0.0,0.0,,,2010.0
6,JPN,60319.2788805,male,0.0,0.0,-2.7059115207662923,-2.8190309306737222,1990.0
7,JPN,62490.184214,female,0.0,0.0,-2.7059115207662923,-2.8190309306737222,1990.0
8,JPN,61493.46250400002,male,0.0,0.0,-2.456862662423314,-2.5985556642746963,2005.0
9,JPN,64517.80272999999,female,0.0,0.0,-2.456862662423314,-2.5985556642746963,2005.0
10,JPN,61335.70887799997,male,0.0,0.0,-2.4291346461771095,-2.5794113108191317,2010.0
11,JPN,64488.12531000002,female,0.0,0.0,-2.4291346461771095,-2.5794113108191317,2010.0
12,KOR,21588.227159100006,male,0.0,0.0,-2.1474664425734225,-2.381149466670539,1990.0
13,KOR,21505.716819,female,0.0,0.0,-2.1474664425734225,-2.381149466670539,1990.0
14,KOR,23508.733657999994,male,0.0,0.0,-2.4612192480728896,-2.4086549588969945,2005.0
15,KOR,23596.264497499993,female,0.0,0.0,-2.4612192480728896,-2.4086549588969945,2005.0
16,KOR,24006.42824959999,male,0.0,0.0,-2.1260609802302084,-2.4758592707241176,2010.0
17,KOR,24152.393285,female,0.0,0.0,-2.1260609802302084,-2.4758592707241176,2010.0
18,SGP,1384.8929620000001,male,0.0,0.0,-2.22295962350467,-2.3446358427921146,1990.0
19,SGP,1344.8351526999995,female,0.0,0.0,-2.22295962350467,-2.3446358427921146,1990.0
20,SGP,1749.1895844999995,male,0.0,0.0,-2.362684919211585,-2.4896783750815574,2005.0
21,SGP,1768.4785093999997,female,0.0,0.0,-2.362684919211585,-2.4896783750815574,2005.0
22,SGP,1830.0870748000007,male,0.0,0.0,-2.285131403550756,-2.4778334284894665,2010.0
23,SGP,1855.3965593999997,female,0.0,0.0,-2.285131403550756,-2.4778334284894665,2010.0
24,ARM,1710.5456617000011,male,0.0,0.0,-1.975861005669083,-2.1113202561377955,1990.0
25,ARM,1812.4344401000003,female,0.0,0.0,-1.975861005669083,-2.1113202561377955,1990.0
26,ARM,1431.3039597999993,male,0.0,0.0,-1.9869805221104135,-1.9318875637847575,2005.0
27,ARM,1635.7164434,female,0.0,0.0,-1.9869805221104135,-1.9318875637847575,2005.0
28,ARM,1440.6972559000005,male,0.0,0.0,-1.895948328104152,-1.9917592896263,2010.0
29,ARM,1654.1347184999995,female,0.0,0.0,-1.895948328104152,-1.9917592896263,2010.0
30,AZE,3487.496720099999,male,0.0,0.0,-2.2088675630641696,-2.1814940993934684,1990.0
31,AZE,3648.6280441,female,0.0,0.0,-2.2088675630641696,-2.1814940993934684,1990.0
32,AZE,4243.970750200004,male,0.0,0.0,-1.9996413576624248,-2.127113518260585,2005.0
